,userid,lat,lng,center
958713,4466,38.95233387,-77.44794846,3
444404,1544,39.76354869,-86.33192882,44
763759,3252,42.05186993,-70.1855997,10
23305,112,30.25598585,-97.74692774,0
969760,4496,28.59640108,-81.3080442,26
666782,2845,38.89278645,-77.02292562,3
222269,687,41.79917844,-73.12394706,18
339959,1146,38.59447456,-121.28461979999999,2
647154,2758,35.35951902,-94.36317883,49
768175,3266,40.74920768,-73.96868348,18
204831,626,32.70626224,-97.31744571,15
153171,486,35.47980999,-97.52192527,32
901851,3965,30.26357091,-97.7326262,0
959030,4466,37.7731498,-122.44034509999999,2
56672,209,30.29537128,-97.71981061,0
454502,1614,39.73519653,-75.45920602,47
319922,1052,33.11320452,-117.10091340000001,8
504327,1922,32.68774588,-97.60036068,15
140715,457,40.77593922,-73.96573305,18
544213,2198,34.1122836,-117.5295888,48
151659,483,30.41333558,-97.67089807,0
160719,504,30.264627299999997,-97.74198174,0
952448,4396,41.88818141,-87.63072968,14
747986,3209,37.69523973,-121.9289297,2
311598,1010,28.55778155,-81.37840412,26
714939,3087,39.17984461,-76.67096615,3
1042582,4797,29.73040048,-95.41719433,31
571814,2352,37.4261752,-122.1664703,2
660905,2821,39.74936031,-89.70941591,6
602948,2532,42.93470929,-78.73195427,19
118689,398,34.04227965,-118.26596699999999,48
255479,796,53.48512177,-2.241200209,45
676906,2898,39.18535001,-96.56083345,12
192796,583,34.015123200000005,-118.49561010000001,48
954841,4420,37.79892105,-122.40853510000001,2
659670,2815,34.19443395,-118.34938079999999,48
678608,2909,33.9623972,-83.3977743,20
802478,3382,32.4093858,-88.70512043,43
649849,2775,42.79045423,-86.10911970000001,14
301048,976,43.03590623,-88.07449753,14
31599,133,37.77644458,-122.42588329999998,2
984773,4578,42.34358079,-71.0871489,10
695353,2996,38.63729366,-77.29398042,3
765906,3254,42.88987328,-71.47391507,10
354147,1198,30.36004506,-97.73484707,0
454759,1617,39.97942915,-76.73337852,3
155420,491,32.7525246,-97.3316997,15
39200,162,33.37921218,-111.9019716,21
323361,1073,40.87779045,-75.72557022,47
412618,1408,53.48147992,-2.253802508,45
447409,1562,32.87143255,-117.2103453,8
594687,2472,47.61618512,-122.3444885,7
603516,2537,39.75619741,-104.99415990000001,9
768861,3268,39.77574104,-85.98597276,44
631367,2685,39.04183745,-94.59140538,12
165863,520,33.44043039,-88.8686657,43
945892,4349,38.92288857,-77.22758197,3
640960,2730,42.63083529,-71.27159233,10
628019,2669,37.648557000000004,-77.693566,3
1034110,4780,32.94735527,-96.82799181,15
725094,3125,44.941337700000005,-93.19305824,23
312862,1010,28.59792015,-81.35033609999999,26
156593,491,32.68697475,-97.41436442,15
610256,2587,29.75289684,-95.37494128,31
1018054,4717,32.98154682,-97.160055,15
711570,3073,39.90140735,-75.17197609,47
493863,1827,21.28667023,-157.8137487,4
791337,3345,44.89038504,-93.44613949,23
101222,343,39.051792299999995,-94.5912061,12
357873,1201,39.951288700000006,-75.17495334,47
997510,4633,50.82149243,-0.14080238,1
775191,3291,45.10915003,-93.4925918,23
933178,4262,48.64833512,-123.4276199,7
380701,1304,34.03762547,-118.1307453,48
859987,3633,41.77327223,-88.15093323,14
873038,3733,30.27152895,-97.74413823,0
754908,3229,38.85053711,-77.04102516,3
1046197,4804,30.22104623,-97.75398731,0
499516,1886,51.45307839,-0.000772476,1
744182,3199,42.21529652,-83.35533142,30
149843,476,37.75968887,-122.42717739999999,2
9147,44,30.26460885,-97.7282381,0
738687,3167,33.6408152,-112.35627659999999,21
661274,2821,39.764151500000004,-89.70420873,6
340958,1146,36.14314713,-115.1573331,25
623417,2648,39.89576434,-85.97318314,44
673361,2884,41.29486602,-72.38031748,18
474515,1721,36.83036069,-76.06737522,3
581821,2366,32.8401678,-79.85801897,5
68253,241,47.66397873,-117.4001291,35
909658,4056,35.94193042,-89.87599758,33
136033,445,35.091485799999994,-85.18589832,20
640812,2730,42.88144808,-70.86679609999999,10
445396,1547,42.31867981,-7.881057739,16
738263,3167,33.65603089,-112.37376450000001,21
773313,3279,40.77681239,-73.97611856,18
169075,525,43.64789095,-72.31868293,10
235745,728,39.69513822,-104.8665074,9
137843,446,33.43036688,-112.0450115,21
609309,2583,32.97570412,-96.70077482,15
379517,1298,38.00915957,-121.87095819999999,2
43498,174,21.2673168,-157.78792819999998,4
951890,4394,40.01890962,-105.275352,9
164336,515,30.26623967,-97.7459085,0
409811,1404,32.37598152,-82.06318118,5
959125,4466,34.08329385,-118.3498078,48
650277,2779,39.054050200000006,-77.51224637,3
939499,4302,37.7810257,-122.46035249999998,2
449566,1584,37.80457931,-122.43284229999999,2
92158,323,38.37948662,-93.75518118,12
976587,4531,33.99905522,-81.03765273,5
499803,1888,38.88199088,-76.99498805,3
377539,1287,26.2887843,-80.2025907,11
258579,819,30.29447617,-97.78468240000001,0
863161,3667,30.32216509,-97.71521329999999,0
970961,4501,35.84108176,-78.68039131,28
100885,343,38.62701358,-90.34161365,6
117473,392,38.92820462,-94.69873727,12
669358,2861,33.43324996,-111.90310120000001,21
575521,2357,38.95530022,-119.9431861,2
711494,3073,40.08661322,-75.39225165,47
696129,2998,47.661573,-122.333894,7
302486,977,26.49365753,-81.78962662,11
98770,337,30.26452292,-97.74071821,0
115805,384,33.19715711,-96.61566854,15
109046,362,35.31960957,-97.51261701,32
831096,3463,33.64110311,-112.02369180000001,21
917581,4141,32.94502615,-97.12890385,15
815638,3415,31.43724037,-100.4934122,0
88387,312,30.25764013,-97.75957298,0
595722,2480,42.363040999999996,-71.056574,10
690545,2968,45.92488619,-95.36995411,23
517654,2013,25.63787021,-100.31414509999999,29
221585,687,41.81378437,-73.09720192,18
779398,3301,51.46069761,-0.304664496,1
603900,2541,39.33749222,-76.48491740000001,3
143958,469,36.04145333,-115.135302,25
541829,2193,37.63260364,-122.1020749,2
759084,3236,43.04522882,-87.91072011,14
832674,3464,41.81679934,-73.07218086,18
275465,872,40.74327862,-89.57387565,6
919769,4153,30.38254323,-97.75172198,0
637862,2714,33.02254489,-96.98558807,15
312923,1010,28.60210006,-81.36459589,26
928197,4223,37.78113607,-122.39445079999999,2
480248,1754,33.79699005,-118.1231488,48
881916,3776,30.268696399999996,-97.7456148,0
633004,2697,37.64610975,-122.1017929,2
836574,3479,39.25560002,-76.53988215,3
478565,1741,33.75159996,-96.54598766,15
177084,541,29.60452493,-98.46894622,0
1041100,4794,41.97384118,-87.90046334,14
223927,693,42.36512976,-71.05812192,10
375947,1282,37.17875993,-93.22396287,49
633191,2699,38.96838022,-74.96091247,47
209733,648,39.29744311,-94.71605301,12
471660,1696,29.78386267,-95.51075618,31
145158,469,36.01741366,-115.1181257,25
815460,3413,34.06090983,-117.1827821,8
880185,3769,41.97988697,-87.91033387,14
37340,158,41.89127,-87.62949,14
416257,1426,35.85061339999999,-90.66682935,33
806260,3391,34.67975903,-92.344438,33
209502,648,38.95426953,-94.71819878,12
153758,489,37.785537700000006,-122.42164129999999,2
1016015,4709,33.07045623,-97.08263308,15
502899,1921,34.04003529999999,-118.4631408,48
697438,3003,47.6151609,-122.32771409999998,7
923596,4177,30.26198028,-97.7295041,0
722201,3118,35.53077025,-97.47708967,32
250932,780,34.91474622,-82.26941702,5
84818,291,28.0820903,-82.4034485,26
918862,4149,34.06274722,-83.99123540000001,20
531140,2100,43.63539184,-79.46614981,19
552369,2242,41.07707855,-73.47172916,18
472678,1703,37.42357637,-122.1976926,2
512231,1970,37.72994875,-84.31791899999999,44
530416,2100,43.30817358,-79.84905213,19
479367,1745,34.03093093,-118.27386670000001,48
963946,4485,48.42868442,-123.36949650000001,7
507764,1940,40.76960498,-73.98143048,18
617987,2629,33.45989613,-86.79052517,43
187858,576,39.04096962,-94.58777905,12
718581,3105,32.83126828,-96.78012433,15
95363,332,51.51816741,-0.125959504,1
557501,2274,32.94381125,-97.13045418,15
921643,4161,26.394104,-80.1126709,11
674022,2884,41.29643273,-72.37702343,18
1038318,4792,30.2555522,-97.72989100000001,0
825006,3442,35.6100834,-97.57071575,32
453941,1607,26.11941057,-80.14469504,11
886599,3819,30.25721198,-97.76027362,0
719013,3105,32.88947223,-97.1502757,15
94546,331,37.76909938,-122.42653090000002,2
693040,2971,33.83301867,-118.34810949999999,48
421651,1440,47.67620354,-122.2999744,7
991313,4607,39.48364034,-88.17575455,6
239920,741,42.36249194,-71.08614564,10
98810,337,30.26689064,-97.74568588,0
925095,4197,38.92698205,-95.25445842,12
774981,3287,30.5241402,-97.68663120000001,0
1040877,4794,41.70068075,-86.2361344,14
222054,687,41.8134393,-72.85870766,18
450703,1591,35.12874517,-89.76153016,33
261607,829,38.05535203,-78.58282502,46
929550,4234,37.79568649,-122.39368200000001,2
914426,4090,30.30243689,-97.7858305,0
649339,2769,40.03950502,-86.07766133,44
829086,3454,42.19260251,-71.19770139,10
784770,3328,30.10995462,-97.41205312,0
548903,2217,47.22441785,-122.4669429,7
722294,3118,35.51595032,-97.61885834,32
134875,444,28.55693855,-81.20847672,26
680348,2917,34.06375392,-118.44123700000002,48
920190,4158,41.65025903,-83.53413776,30
92512,323,30.56790542,-97.68974304,0
220379,680,21.29036652,-157.84220430000002,4
1044694,4799,32.57595143,-95.85513643,15
573057,2355,32.8402705,-117.1642382,8
668850,2858,32.89771388,-97.03667879,15
867917,3697,32.84967721,-96.7687583,15
918223,4141,32.78980408,-96.8124477,15
982418,4559,33.77559803,-84.4038713,20
890441,3843,30.2698105,-97.74897025,0
109703,365,37.80621283,-122.43897379999999,2
31794,135,37.61635606,-122.38615039999999,2
146973,472,37.80549799,-122.41210339999999,2
414467,1414,29.63640832,-95.5860163,31
1023888,4747,33.13936188,-96.80742417,15
262807,832,34.02035503,-118.4527814,48
1034376,4781,32.82221858,-96.78742647,15
211804,657,43.65878308,-79.3881619,19
116999,392,39.01473452,-94.74463555,12
475682,1725,35.61146458,-97.4695015,32
550171,2236,38.92943413,-94.40878906,12
616023,2617,34.41410625,-118.5580399,48
397191,1359,43.65506814,-79.43548096,19
29066,130,37.38873208,-121.98412979999999,2
451285,1591,35.13335176,-89.96103287,33
691440,2971,33.72461737,-117.7927111,48
637511,2713,30.30961278,-97.96101295,0
776008,3295,37.3302027,-121.9120321,2
526306,2056,21.29105133,-157.75540690000003,4
403839,1388,40.05396983,-82.91517542,30
582131,2366,32.81333375,-79.86748955,5
246709,763,38.864156099999995,-77.060613,3
210632,652,37.30655207,-121.81180520000001,2
592063,2436,28.41704133,-81.58122182,26
834216,3475,29.95811267,-90.06400997,24
909594,4055,30.30791464,-97.75055006,0
718662,3105,33.15385937,-96.8591371,15
702120,3012,35.5649708,-97.5482862,32
6262,23,42.68350508,-73.83959388,18
109072,362,35.53081805,-97.57747675,32
840556,3493,30.00190885,-95.58453109999999,31
1026731,4753,41.61899917,-87.85093131,14
656998,2809,29.56439972,-95.28650665,31
649527,2771,39.85584588,-86.39338333,44
238780,739,35.01796132,-85.27308225,20
382885,1307,37.3235714,-121.9748652,2
811708,3401,40.75244174,-73.98563862,18
559306,2280,34.19611435,-118.3539104,48
48595,183,61.19590277,-149.9055301,13
908886,4039,40.73674647,-73.98914337,18
1036980,4785,51.52303691,-0.124282837,1
477825,1738,32.83598952,-96.77485228,15
648477,2765,37.69745818,-121.77269479999998,2
63515,224,30.22038197,-93.17047033,31
196584,588,30.26712937,-97.74370987,0
892060,3870,30.20155733,-97.66712666,0
475707,1725,35.63798192,-97.55061812,32
572634,2355,37.80820203,-122.41652890000002,2
28241,125,32.79441776,-96.80000067,15
221446,687,41.8103224,-73.14326584,18
250708,779,40.01680412,-105.2807862,9
437922,1516,33.30204982,-111.900077,21
347566,1174,30.27379487,-97.76382448,0
798392,3364,38.580288200000005,-92.24819338,12
65121,226,32.84391587,-96.91702175,15
79446,267,30.26866744,-97.75054336,0
931137,4251,37.78260468,-122.40760800000001,2
102428,346,47.64152287,-122.32591210000001,7
238580,739,34.75772518,-84.99931758,20
642190,2741,36.67691988,-96.27767003,32
444789,1546,40.70269462,-73.99667159999998,18
909038,4043,21.31706628,-157.9775295,4
314203,1014,29.73438365,-95.41804075,31
14497,77,40.75609165,-73.99025917,18
1011323,4686,28.59461285,-81.34851085,26
28037,125,33.77343092,-84.36132073,20
1001484,4657,32.86093498,-96.65917004,15
631745,2687,32.76427159,-117.2266531,8
760331,3242,38.57700237,-121.4822838,2
992652,4616,36.62322598,-95.14789939,49
965574,4489,37.31809172,-121.9512395,2
142198,460,35.90333845,-78.93270135,28
174067,535,30.26910295,-97.74939537,0
60157,218,35.60846762,-97.61968718,32
974180,4520,38.76759434,-9.096776247000001,16
1023363,4743,32.7543223,-97.33384487,15
747697,3207,38.36591797,-75.60011643,3
935780,4279,38.88089436,-94.75802422,12
511554,1967,43.07953707,-77.62221918,19
194346,584,35.46667442,-97.50889338,32
190467,578,40.75724587,-73.97527143,18
138408,447,39.05668212,-94.5956418,12
17726,94,32.94692115,-97.10025723,15
760408,3243,38.62490952,-76.91933334,3
720447,3109,29.87509885,-97.93400030000001,0
564935,2319,30.23369523,-97.78627025,0
346732,1174,31.52517198,-97.13225125,15
307520,993,26.45504087,-81.95403391,11
648854,2765,37.72274024,-121.94189070000002,2
894346,3901,29.98516611,-95.33938132,31
646260,2758,36.8704178,-75.97969253,3
903282,3982,35.34413288,-97.45633149999999,32
427505,1479,39.73344557,-75.56049943,47
55367,205,21.30359395,-157.85622949999998,4
32275,135,30.26351531,-97.74016857,0
1046429,4804,35.55618053,-97.63657093,32
80210,268,29.24066887,-94.87808735,31
12400,59,38.93522645,-77.07423398,3
786134,3332,37.99031420000001,-122.3080226,2
608446,2578,38.83850723,-77.08883168,3
138284,447,33.80910742,-117.92318300000001,48
614473,2613,37.79269371,-122.4001703,2
986122,4587,35.59406431,-82.5553949,5
563074,2305,33.83094331,-118.089155,48
41235,167,50.82617904,-0.138015747,1
1037492,4790,51.48441624,-0.149806738,1
313650,1011,34.06877518,-118.41123459999999,48
644130,2751,34.18184372,-117.322998,8
678236,2905,43.31843008,-79.91152155,19
819406,3427,39.76724048,-89.70947123,6
526015,2056,21.30114998,-157.8500926,4
469217,1689,34.1224584,-118.14821740000001,48
602323,2527,34.04739217,-118.44532930000001,48
900833,3955,34.024784600000004,-118.491042,48
4717,22,40.73343771,-74.00329471,18
581768,2366,33.99738683,-81.03819251,5
924452,4192,39.75491665,-105.2200561,9
740971,3180,38.80505637,-77.04629838,3
758786,3236,40.64388454,-73.7828064,18
802636,3382,31.330586600000004,-89.34866447,24
10659,53,37.68260112,-122.4873169,2
451621,1594,18.41530745,-66.05066299,17
513357,1976,40.72203874,-74.00422812,18
109333,363,37.75535441,-122.4196672,2
49367,185,41.08199524,-111.9796258,22
344239,1154,34.07043574,-84.30813789,20
927110,4216,30.27103615,-97.75418209,0
126106,416,37.76045626,-122.4165591,2
143575,469,47.61909517,-122.3513889,7
438490,1518,51.50537498,-0.11697930000000001,1
541972,2193,37.32350253,-121.96752190000001,2
982651,4559,37.77475448,-122.2240783,2
499613,1886,51.58728025,-0.164169309,1
917593,4141,32.72559713,-97.3616495,15
760602,3243,38.62920417,-76.90977588,3
130174,436,28.55041863,-81.58364772,26
247267,769,45.5125874,-122.6236868,42
824884,3442,39.74414598,-104.9878031,9
42085,170,33.6028766,-117.69206770000001,8
321418,1061,53.53366218,-113.61749679999998,39
888004,3833,30.40776998,-97.71328747,0
468173,1685,34.08377587,-118.2932716,48
1002697,4657,32.96536242,-96.64326317,15
231130,720,26.68848374,-80.0914371,11
745724,3206,30.26887893,-97.73611307,0
215029,668,33.8127024,-117.92033400000001,48
176198,540,35.86609707,-78.62031848,28
992976,4616,34.42281547,-119.7038041,48
785250,3328,30.1053071,-97.32676506,0
238615,739,21.2733288,-157.82310959999998,4
9932,53,36.10800212,-115.17407659999998,25
310509,1005,43.64789645,-79.39050311,19
781375,3312,36.33320848,-94.14917652,49
